country,location,incomebracket,epiranking,epi,envirohealth,ecosystemviability
1,2,0,168,37.74,36.76,38.40
2,3,2,40,65.46,65.67,65.32
3,0,2,88,57.18,80.95,41.34
4,0,1,170,37.44,33.79,39.88
5,1,3,76,59.18,76.53,47.61
6,1,2,74,59.30,79.88,45.58
7,2,2,63,62.07,56.85,65.56
8,5,3,21,74.12,97.95,58.23
9,3,3,8,78.97,86.38,74.03
10,2,2,59,62.33,48.55,71.52
11,1,3,98,54.99,73.68,42.52
12,4,3,96,55.15,65.28,48.41
13,2,1,179,29.56,11.96,41.29
14,1,3,93,55.76,84.73,36.45
15,3,2,44,64.98,69.55,61.94
16,3,3,15,77.38,89.37,69.39
17,1,2,81,57.79,65.09,52.93
18,0,0,167,38.17,36.36,39.37
19,2,1,131,47.22,35.27,55.18
20,1,1,92,55.98,61.64,52.21
21,3,2,158,41.84,63.87,27.15
22,0,2,113,51.70,37.19,61.37
23,1,2,69,60.70,67.44,56.21
24,2,3,53,63.57,96.66,41.52
25,3,2,30,67.85,69.60,66.68
26,0,0,154,42.83,44.22,41.91
27,0,0,180,27.43,25.69,28.59
28,0,1,89,56.94,60.90,54.30
29,2,1,150,43.23,39.81,45.51
30,0,1,161,40.81,39.18,41.90
31,1,3,25,72.18,97.51,55.29
32,0,0,171,36.42,29.16,41.26
33,0,0,137,45.34,41.36,47.99
34,1,3,84,57.49,73.73,46.66
35,2,2,120,50.74,31.72,63.42
36,1,2,42,65.22,71.05,61.33
37,0,1,146,44.24,47.06,42.37
38,1,2,30,67.85,76.44,62.13
39,0,1,139,45.25,39.55,49.05
40,3,3,41,65.45,67.04,64.39
41,1,2,55,63.42,75.76,55.20
42,3,3,24,72.60,87.96,62.37
43,3,3,33,67.68,68.69,67.01
44,0,0,178,30.41,19.70,37.56
45,3,3,3,81.60,98.20,70.53
45,0,1,163,40.04,52.89,31.47
46,1,2,73,59.38,69.45,52.67
47,1,2,46,64.71,64.86,64.61
48,1,2,87,57.42,72.58,47.31
49,0,1,66,61.21,68.61,56.28
50,1,1,106,53.91,63.99,47.19
51,0,2,71,60.40,49.66,67.55
52,0,0,165,39.34,46.12,34.81
53,3,3,48,64.31,73.24,58.35
54,0,0,141,44.78,32.80,52.77
55,5,2,107,53.09,61.70,47.35
56,3,3,10,78.64,99.35,64.83
57,3,3,2,83.95,95.71,76.11
58,0,2,140,45.05,43.04,46.39
59,0,0,156,42.42,47.99,38.72
60,2,2,94,55.69,57.10,54.75
